Period,Temporal replication,MPA,MPA Year,Site,Latitude,Longitude,Year,No. Transects,Area (m2),Susceptible species,Family/Subfamily,Group Species,Healthy,SCTLD,Dead
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Acroporidae,Acropora cervicornis,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Acroporidae,Acropora palmata,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Acroporidae,Acropora cervicornis,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Agariciidae,Agaricia (encrusting),11,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Agariciidae,Agaricia (encrusting),0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Agariciidae,Agaricia (encrusting),0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Agariciidae,Agaricia (encrusting),0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Agariciidae,Agaricia (encrusting),0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Agariciidae,Agaricia (encrusting),0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Agariciidae,Agaricia tenuifolia,4,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Faviinae,Colpophyllia natans,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Meandrinidae ,Dendrogyra cylindrus,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Meandrinidae ,Dichocoenia stokesi,1.5,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Faviinae,Diploria labyrinthiformis,0.5,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Meandrinidae ,Eusmilia fastigiata,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Faviinae,Favia fragum,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Agariciidae,Helioseris cucullata,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Mussinae,Isophyllia spp.,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Mussinae,Isophyllia spp.,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Mussinae,Isophyllia spp.,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Pocilloporidae,Madracis spp.,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,No,Pocilloporidae,Madracis spp.,0.5,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Meandrinidae ,Meandrina spp.,0,0,0
Pre,Yes,RBCM,2016,Akumal Langosta,20.38499,-87.31341,2016,2,20,Yes,Meandrinidae ,Meandrina spp.,0.5,0,0
